#Step   Etot   PotE Ktot  T
372 -0.835806 -2.053919  1.218113 1.22
373 -0.835715 -2.054025  1.218310 1.22
374 -0.835494 -2.054201  1.218707 1.22
375 -0.835143 -2.054405  1.219262 1.22
376 -0.834661 -2.054607  1.219946 1.22
377 -0.834047 -2.054804  1.220758 1.22
378 -0.833300 -2.055032  1.221732 1.22
379 -0.832422 -2.055360  1.222938 1.22
380 -0.831413 -2.055891  1.224478 1.22
381 -0.830275 -2.056737  1.226462 1.23
382 -0.829009 -2.058003  1.228994 1.23
383 -0.827617 -2.059761  1.232144 1.23
384 -0.826099 -2.062025  1.235926 1.24
385 -0.824455 -2.064737  1.240282 1.24
386 -0.822684 -2.067767  1.245083 1.25
387 -0.820785 -2.070917  1.250133 1.25
388 -0.818755 -2.073953  1.255198 1.26
389 -0.816593 -2.076625  1.260031 1.26
390 -0.814299 -2.078706  1.264407 1.26
391 -0.811873 -2.080016  1.268143 1.27
392 -0.809315 -2.080435  1.271120 1.27
393 -0.806628 -2.079919  1.273291 1.27
394 -0.803814 -2.078495  1.274681 1.27
395 -0.800875 -2.076263  1.275388 1.28
396 -0.797812 -2.073391  1.275579 1.28
397 -0.794627 -2.070115  1.275488 1.28
398 -0.791322 -2.066729  1.275408 1.28
399 -0.787896 -2.063583  1.275687 1.28
400 -0.784352 -2.061057  1.276705 1.28
401 -0.780689 -2.059536  1.278847 1.28
402 -0.776909 -2.059367  1.282458 1.28
403 -0.773010 -2.060811  1.287801 1.29
404 -0.768990 -2.063998  1.295008 1.30
405 -0.764846 -2.068896  1.304051 1.30
406 -0.760570 -2.075306  1.314736 1.31
407 -0.756156 -2.082881  1.326725 1.33
408 -0.751598 -2.091181  1.339582 1.34
409 -0.746891 -2.099731  1.352840 1.35
410 -0.742032 -2.108087  1.366055 1.37
411 -0.737023 -2.115886  1.378863 1.38
412 -0.731868 -2.122868  1.391000 1.39
413 -0.726574 -2.128877  1.402303 1.40
414 -0.721148 -2.133841  1.412692 1.41
415 -0.715600 -2.137742  1.422142 1.42
416 -0.709937 -2.140583  1.430647 1.43
417 -0.704165 -2.142361  1.438197 1.44
418 -0.698290 -2.143054  1.444763 1.44
419 -0.692319 -2.142613  1.450294 1.45
420 -0.686256 -2.140973  1.454717 1.45
421 -0.680105 -2.138056  1.457951 1.46
422 -0.673873 -2.133795  1.459922 1.46
423 -0.667562 -2.128138  1.460576 1.46
424 -0.661179 -2.121072  1.459893 1.46
425 -0.654728 -2.112631  1.457903 1.46
426 -0.648213 -2.102914  1.454701 1.45
427 -0.641639 -2.092092  1.450454 1.45
428 -0.635009 -2.080411  1.445403 1.45
429 -0.628327 -2.068186  1.439859 1.44
430 -0.621596 -2.055777  1.434181 1.43
431 -0.614818 -2.043561  1.428744 1.43
432 -0.607992 -2.031884  1.423892 1.42
433 -0.601119 -2.021022  1.419903 1.42
434 -0.594192 -2.011145  1.416953 1.42
435 -0.587206 -2.002307  1.415100 1.42
436 -0.580155 -1.994448  1.414294 1.41
437 -0.573030 -1.987415  1.414385 1.41
438 -0.565825 -1.980986  1.415160 1.42
439 -0.558537 -1.974898  1.416362 1.42
440 -0.551160 -1.968876  1.417716 1.42
441 -0.543694 -1.962652  1.418957 1.42
442 -0.536138 -1.955987  1.419849 1.42
443 -0.528492 -1.948703  1.420211 1.42
444 -0.520758 -1.940702  1.419943 1.42
445 -0.512938 -1.931989  1.419051 1.42
446 -0.505036 -1.922688  1.417653 1.42
