#Step   Etot   PotE Ktot  T
318 -0.994583 -1.999240  1.004657 1.00
319 -0.994571 -2.007241  1.012671 1.01
320 -0.994565 -2.015857  1.021293 1.02
321 -0.994565 -2.025121  1.030556 1.03
322 -0.994573 -2.034966  1.040394 1.04
323 -0.994586 -2.045225  1.050639 1.05
324 -0.994604 -2.055644  1.061041 1.06
325 -0.994624 -2.065910  1.071286 1.07
326 -0.994643 -2.075677  1.081034 1.08
327 -0.994661 -2.084608  1.089947 1.09
328 -0.994674 -2.092404  1.097729 1.10
329 -0.994682 -2.098832  1.104150 1.10
330 -0.994683 -2.103753  1.109070 1.11
331 -0.994676 -2.107138  1.112461 1.11
332 -0.994662 -2.109071  1.114409 1.11
333 -0.994642 -2.109756  1.115115 1.12
334 -0.994617 -2.109494  1.114877 1.11
335 -0.994590 -2.108658  1.114068 1.11
336 -0.994564 -2.107652  1.113088 1.11
337 -0.994543 -2.106858  1.112314 1.11
338 -0.994531 -2.106583  1.112053 1.11
339 -0.994528 -2.107016  1.112489 1.11
340 -0.994535 -2.108197  1.113662 1.11
341 -0.994551 -2.110013  1.115462 1.12
342 -0.994573 -2.112220  1.117648 1.12
343 -0.994597 -2.114488  1.119891 1.12
344 -0.994620 -2.116446  1.121826 1.12
345 -0.994639 -2.117740  1.123101 1.12
346 -0.994652 -2.118078  1.123426 1.12
347 -0.994658 -2.117256  1.122599 1.12
348 -0.994656 -2.115183  1.120527 1.12
349 -0.994648 -2.111879  1.117231 1.12
350 -0.994633 -2.107474  1.112841 1.11
351 -0.994613 -2.102196  1.107583 1.11
352 -0.994590 -2.096355  1.101765 1.10
353 -0.994564 -2.090319  1.095755 1.10
354 -0.994537 -2.084497  1.089960 1.09
355 -0.994512 -2.079306  1.084794 1.08
356 -0.994490 -2.075142  1.080652 1.08
357 -0.994474 -2.072350  1.077876 1.08
358 -0.994464 -2.071186  1.076721 1.08
359 -0.994463 -2.071798  1.077335 1.08
360 -0.994470 -2.074209  1.079739 1.08
361 -0.994484 -2.078310  1.083826 1.08
362 -0.994505 -2.083876  1.089371 1.09
363 -0.994529 -2.090588  1.096059 1.10
364 -0.994554 -2.098070  1.103516 1.10
365 -0.994578 -2.105923  1.111346 1.11
366 -0.994598 -2.113767  1.119169 1.12
367 -0.994615 -2.121265  1.126650 1.13
368 -0.994626 -2.128142  1.133515 1.13
369 -0.994634 -2.134195  1.139562 1.14
370 -0.994637 -2.139293  1.144656 1.14
371 -0.994637 -2.143364  1.148727 1.15
372 -0.994635 -2.146394  1.151759 1.15
373 -0.994630 -2.148413  1.153782 1.15
374 -0.994624 -2.149488  1.154865 1.15
375 -0.994616 -2.149723  1.155107 1.16
376 -0.994607 -2.149242  1.154635 1.15
377 -0.994598 -2.148189  1.153590 1.15
378 -0.994592 -2.146700  1.152109 1.15
