#Step   Etot   PotE Ktot  T
388 -0.004808 -1.718675  1.713866 1.71
389 -0.004813 -1.733324  1.728511 1.73
390 -0.004778 -1.745698  1.740920 1.74
391 -0.004719 -1.756146  1.751428 1.75
392 -0.004648 -1.765418  1.760769 1.76
393 -0.004583 -1.774435  1.769852 1.77
394 -0.004532 -1.784076  1.779543 1.78
395 -0.004503 -1.795007  1.790505 1.79
396 -0.004492 -1.807606  1.803114 1.80
397 -0.004495 -1.821965  1.817470 1.82
398 -0.004506 -1.837967  1.833462 1.83
399 -0.004519 -1.855372  1.850854 1.85
400 -0.004533 -1.873886  1.869354 1.87
401 -0.230407 -1.892423  1.662016 1.66
402 -0.230436 -1.912168  1.681732 1.68
403 -0.230473 -1.932565  1.702091 1.70
404 -0.230517 -1.952920  1.722403 1.72
405 -0.230562 -1.972446  1.741884 1.74
406 -0.230603 -1.990332  1.759729 1.76
407 -0.230636 -2.005831  1.775195 1.78
408 -0.230657 -2.018334  1.787677 1.79
409 -0.230666 -2.027415  1.796750 1.80
410 -0.230663 -2.032852  1.802189 1.80
411 -0.230652 -2.034612  1.803961 1.80
412 -0.230631 -2.032837  1.802206 1.80
413 -0.230604 -2.027822  1.797219 1.80
414 -0.230569 -2.020001  1.789433 1.79
415 -0.230526 -2.009944  1.779418 1.78
416 -0.230475 -1.998356  1.767881 1.77
417 -0.230416 -1.986079  1.755663 1.76
418 -0.230353 -1.974074  1.743721 1.74
419 -0.230289 -1.963371  1.733082 1.73
420 -0.230235 -1.954982  1.724747 1.72
421 -0.311447 -1.950030  1.638584 1.64
422 -0.311437 -1.949005  1.637568 1.64
423 -0.311456 -1.952056  1.640600 1.64
424 -0.311499 -1.958894  1.647396 1.65
425 -0.311557 -1.968850  1.657293 1.66
426 -0.311620 -1.981000  1.669380 1.67
427 -0.311679 -1.994329  1.682651 1.68
428 -0.311727 -2.007874  1.696147 1.70
429 -0.311761 -2.020823  1.709062 1.71
430 -0.311781 -2.032569  1.720788 1.72
431 -0.311789 -2.042716  1.730927 1.73
432 -0.311788 -2.051053  1.739265 1.74
433 -0.311782 -2.057516  1.745735 1.75
434 -0.311773 -2.062145  1.750372 1.75
435 -0.311764 -2.065034  1.753271 1.75
436 -0.311756 -2.066300  1.754544 1.75
437 -0.311752 -2.066050  1.754297 1.75
438 -0.311752 -2.064359  1.752607 1.75
439 -0.311756 -2.061265  1.749509 1.75
440 -0.311764 -2.056763  1.744999 1.74
441 -0.413273 -2.051138  1.637865 1.64
442 -0.413284 -2.044347  1.631063 1.63
443 -0.413298 -2.036320  1.623022 1.62
444 -0.413311 -2.026982  1.613672 1.61
445 -0.413321 -2.016289  1.602969 1.60
446 -0.413325 -2.004260  1.590935 1.59
447 -0.413317 -1.991033  1.577715 1.58
448 -0.413293 -1.976937  1.563645 1.56
