#Step   Etot   PotE Ktot  T
221 -0.994745 -2.142518  1.147774 1.15
222 -0.994736 -2.138870  1.144134 1.14
223 -0.994727 -2.133159  1.138432 1.14
224 -0.994716 -2.125574  1.130858 1.13
225 -0.994701 -2.116340  1.121638 1.12
226 -0.994680 -2.105750  1.111070 1.11
227 -0.994651 -2.094197  1.099546 1.10
228 -0.994615 -2.082184  1.087570 1.09
229 -0.994575 -2.070309  1.075734 1.08
230 -0.994535 -2.059222  1.064687 1.06
231 -0.994499 -2.049562  1.055064 1.06
232 -0.994471 -2.041894  1.047424 1.05
233 -0.994453 -2.036646  1.042193 1.04
234 -0.994446 -2.034077  1.039630 1.04
235 -0.994450 -2.034267  1.039817 1.04
236 -0.994461 -2.037132  1.042671 1.04
237 -0.994478 -2.042452  1.047973 1.05
238 -0.994499 -2.049903  1.055404 1.06
239 -0.994522 -2.059096  1.064574 1.06
240 -0.994546 -2.069602  1.075056 1.08
241 -0.994569 -2.080974  1.086405 1.09
242 -0.994591 -2.092771  1.098180 1.10
243 -0.994612 -2.104564  1.109952 1.11
244 -0.994630 -2.115954  1.121324 1.12
245 -0.994645 -2.126578  1.131933 1.13
246 -0.994658 -2.136120  1.141463 1.14
247 -0.994667 -2.144316  1.149649 1.15
248 -0.994672 -2.150957  1.156284 1.16
249 -0.994675 -2.155896  1.161221 1.16
250 -0.994673 -2.159047  1.164373 1.16
251 -0.994669 -2.160383  1.165714 1.17
252 -0.994661 -2.159936  1.165275 1.17
253 -0.994651 -2.157791  1.163140 1.16
254 -0.994639 -2.154082  1.159443 1.16
255 -0.994624 -2.148986  1.154361 1.15
256 -0.994609 -2.142715  1.148107 1.15
257 -0.994592 -2.135513  1.140922 1.14
258 -0.994575 -2.127641  1.133067 1.13
259 -0.994558 -2.119370  1.124812 1.12
260 -0.994542 -2.110967  1.116424 1.12
261 -0.994529 -2.102687  1.108158 1.11
262 -0.994518 -2.094756  1.100238 1.10
263 -0.994510 -2.087365  1.092855 1.09
264 -0.994506 -2.080657  1.086151 1.09
265 -0.994505 -2.074726  1.080221 1.08
266 -0.994506 -2.069624  1.075118 1.08
267 -0.994508 -2.065367  1.070859 1.07
268 -0.994510 -2.061955  1.067445 1.07
269 -0.994510 -2.059393  1.064883 1.06
270 -0.994508 -2.057711  1.063203 1.06
271 -0.994502 -2.056976  1.062474 1.06
272 -0.994494 -2.057297  1.062803 1.06
273 -0.994486 -2.058807  1.064321 1.06
274 -0.994480 -2.061635  1.067155 1.07
275 -0.994479 -2.065866  1.071387 1.07
276 -0.994484 -2.071510  1.077026 1.08
277 -0.994496 -2.078475  1.083979 1.08
278 -0.994512 -2.086569  1.092057 1.09
279 -0.994531 -2.095525  1.100994 1.10
280 -0.994550 -2.105031  1.110481 1.11
281 -0.994568 -2.114773  1.120205 1.12
282 -0.994582 -2.124462  1.129881 1.13
283 -0.994592 -2.133859  1.139267 1.14
284 -0.994600 -2.142776  1.148176 1.15
285 -0.994605 -2.151077  1.156472 1.16
286 -0.994608 -2.158668  1.164060 1.16
287 -0.994610 -2.165489  1.170879 1.17
288 -0.994612 -2.171500  1.176888 1.18
289 -0.994613 -2.176675  1.182062 1.18
290 -0.994616 -2.180992  1.186376 1.19
291 -0.994620 -2.184421  1.189802 1.19
292 -0.994625 -2.186923  1.192299 1.19
293 -0.994631 -2.188445  1.193814 1.19
294 -0.994638 -2.188920  1.194282 1.19
295 -0.994645 -2.188280  1.193635 1.19
296 -0.994651 -2.186461  1.191810 1.19
297 -0.994655 -2.183422  1.188767 1.19
