#Step   Etot   PotE Ktot  T
216 -0.203629 -1.835078  1.631449 1.63
217 -0.191563 -1.822174  1.630611 1.63
218 -0.178664 -1.808684  1.630020 1.63
219 -0.165179 -1.794800  1.629621 1.63
220 -0.151299 -1.780641  1.629342 1.63
221 -0.137142 -1.766258  1.629115 1.63
222 -0.122756 -1.751671  1.628915 1.63
223 -0.108163 -1.736936  1.628773 1.63
224 -0.093419 -1.722197  1.628778 1.63
225 -0.078673 -1.707725  1.629052 1.63
226 -0.064195 -1.693904  1.629710 1.63
227 -0.050372 -1.681207  1.630834 1.63
228 -0.037676 -1.670138  1.632462 1.63
229 -0.026610 -1.661197  1.634588 1.63
230 -0.017671 -1.654858  1.637187 1.64
231 -0.011331 -1.651569  1.640238 1.64
232 -0.008042 -1.651775  1.643733 1.64
233 -0.008248 -1.655917  1.647668 1.65
234 -0.012395 -1.664407  1.652012 1.65
235 -0.020898 -1.677557  1.656658 1.66
236 -0.034068 -1.695461  1.661393 1.66
237 -0.051999 -1.717891  1.665893 1.67
238 -0.074455 -1.744216  1.669761 1.67
239 -0.100801 -1.773410  1.672609 1.67
240 -0.130008 -1.804142  1.674134 1.67
241 -0.160742 -1.834921  1.674179 1.67
242 -0.191513 -1.864259  1.672746 1.67
243 -0.220836 -1.890816  1.669979 1.67
244 -0.247374 -1.913491  1.666117 1.67
245 -0.270030 -1.931476  1.661446 1.66
246 -0.287995 -1.944257  1.656262 1.66
247 -0.300758 -1.951602  1.650844 1.65
248 -0.308088 -1.953525  1.645438 1.65
249 -0.309998 -1.950254  1.640256 1.64
250 -0.306717 -1.942188  1.635471 1.64
251 -0.298643 -1.929862  1.631219 1.63
252 -0.286313 -1.913913  1.627599 1.63
253 -0.270362 -1.895042  1.624680 1.62
254 -0.251490 -1.873989  1.622498 1.62
255 -0.230438 -1.851511  1.621073 1.62
256 -0.207961 -1.828373  1.620412 1.62
257 -0.184824 -1.805341  1.620517 1.62
258 -0.161793 -1.783183  1.621389 1.62
259 -0.139638 -1.762657  1.623019 1.62
260 -0.119117 -1.744491  1.625374 1.63
261 -0.100959 -1.729343  1.628384 1.63
262 -0.085821 -1.717752  1.631931 1.63
263 -0.074243 -1.710093  1.635850 1.64
264 -0.066597 -1.706543  1.639945 1.64
265 -0.063059 -1.707066  1.644007 1.64
266 -0.063592 -1.711433  1.647840 1.65
