#Step   Etot   PotE Ktot  T
213 -0.994563 -2.204479  1.209916 1.21
214 -0.994553 -2.205142  1.210588 1.21
215 -0.994544 -2.205140  1.210597 1.21
216 -0.994535 -2.204618  1.210083 1.21
217 -0.994526 -2.203714  1.209188 1.21
218 -0.994519 -2.202561  1.208042 1.21
219 -0.994513 -2.201275  1.206762 1.21
220 -0.994510 -2.199949  1.205440 1.21
221 -0.994508 -2.198650  1.204142 1.20
222 -0.994508 -2.197416  1.202907 1.20
223 -0.994510 -2.196255  1.201745 1.20
224 -0.994513 -2.195154  1.200641 1.20
225 -0.994516 -2.194084  1.199568 1.20
226 -0.994519 -2.193009  1.198489 1.20
227 -0.994522 -2.191894  1.197372 1.20
228 -0.994523 -2.190716  1.196193 1.20
229 -0.994524 -2.189465  1.194941 1.19
230 -0.994523 -2.188144  1.193620 1.19
231 -0.994524 -2.186762  1.192238 1.19
232 -0.994524 -2.185327  1.190802 1.19
233 -0.994527 -2.183833  1.189306 1.19
234 -0.994531 -2.182254  1.187723 1.19
235 -0.994537 -2.180538  1.186001 1.19
236 -0.994544 -2.178604  1.184060 1.18
237 -0.994552 -2.176358  1.181806 1.18
238 -0.994560 -2.173697  1.179138 1.18
239 -0.994565 -2.170533  1.175967 1.18
240 -0.994568 -2.166803  1.172235 1.17
241 -0.994567 -2.162492  1.167924 1.17
242 -0.994563 -2.157633  1.163070 1.16
243 -0.994556 -2.152315  1.157760 1.16
244 -0.994547 -2.146667  1.152120 1.15
245 -0.994539 -2.140840  1.146301 1.15
246 -0.994533 -2.134983  1.140450 1.14
247 -0.994530 -2.129212  1.134682 1.13
248 -0.994532 -2.123591  1.129059 1.13
249 -0.994539 -2.118113  1.123574 1.12
250 -0.994548 -2.112706  1.118158 1.12
251 -0.994560 -2.107249  1.112689 1.11
252 -0.994571 -2.101595  1.107024 1.11
253 -0.994580 -2.095602  1.101022 1.10
254 -0.994585 -2.089158  1.094573 1.09
255 -0.994587 -2.082201  1.087614 1.09
256 -0.994586 -2.074725  1.080139 1.08
257 -0.994581 -2.066775  1.072194 1.07
258 -0.994575 -2.058443  1.063867 1.06
259 -0.994568 -2.049848  1.055280 1.06
260 -0.994560 -2.041132  1.046571 1.05
261 -0.994552 -2.032446  1.037894 1.04
262 -0.994544 -2.023949  1.029405 1.03
263 -0.994536 -2.015801  1.021265 1.02
264 -0.994528 -2.008163  1.013635 1.01
265 -0.994521 -2.001190  1.006670 1.01
266 -0.994516 -1.995020  1.000504 1.00
267 -0.994514 -1.989755  0.995241 1.00
268 -0.994516 -1.985445  0.990929 0.99
269 -0.994523 -1.982074  0.987551 0.99
270 -0.994534 -1.979551  0.985017 0.99
271 -0.994548 -1.977724  0.983176 0.98
272 -0.994562 -1.976398  0.981835 0.98
273 -0.994575 -1.975368  0.980792 0.98
274 -0.994584 -1.974453  0.979869 0.98
275 -0.994588 -1.973526  0.978938 0.98
276 -0.994587 -1.972536  0.977949 0.98
277 -0.994580 -1.971510  0.976930 0.98
278 -0.994569 -1.970557  0.975988 0.98
279 -0.994555 -1.969847  0.975292 0.98
280 -0.994540 -1.969591  0.975051 0.98
281 -0.994527 -1.970011  0.975483 0.98
282 -0.994518 -1.971301  0.976784 0.98
283 -0.994514 -1.973603  0.979089 0.98
284 -0.994516 -1.976971  0.982455 0.98
285 -0.994524 -1.981365  0.986841 0.99
286 -0.994538 -1.986647  0.992108 0.99
287 -0.994556 -1.992593  0.998037 1.00
288 -0.994575 -1.998924  1.004349 1.00
