#Step   Etot   PotE Ktot  T
188 -1.962317 -2.458730  0.496413 0.50
189 -1.962317 -2.457657  0.495340 0.50
190 -1.962317 -2.456370  0.494053 0.49
191 -1.962317 -2.454874  0.492557 0.49
192 -1.962316 -2.453180  0.490864 0.49
193 -1.962315 -2.451305  0.488991 0.49
194 -1.962313 -2.449273  0.486959 0.49
195 -1.962312 -2.447109  0.484798 0.48
196 -1.962310 -2.444847  0.482537 0.48
197 -1.962308 -2.442519  0.480211 0.48
198 -1.962306 -2.440160  0.477854 0.48
199 -1.962304 -2.437805  0.475501 0.48
200 -1.962302 -2.435488  0.473186 0.47
201 -1.962300 -2.433241  0.470940 0.47
202 -1.962299 -2.431094  0.468795 0.47
203 -1.962297 -2.429077  0.466780 0.47
204 -1.962296 -2.427217  0.464922 0.46
205 -1.962294 -2.425542  0.463248 0.46
206 -1.962293 -2.424077  0.461785 0.46
207 -1.962291 -2.422849  0.460558 0.46
208 -1.962290 -2.421883  0.459593 0.46
209 -1.962288 -2.421204  0.458916 0.46
210 -1.962287 -2.420837  0.458550 0.46
211 -1.962285 -2.420801  0.458516 0.46
212 -1.962285 -2.421115  0.458831 0.46
213 -1.962284 -2.421792  0.459508 0.46
214 -1.962284 -2.422838  0.460554 0.46
215 -1.962284 -2.424252  0.461968 0.46
216 -1.962285 -2.426026  0.463740 0.46
217 -1.962287 -2.428140  0.465853 0.47
218 -1.962289 -2.430569  0.468280 0.47
219 -1.962292 -2.433276  0.470984 0.47
220 -1.962295 -2.436218  0.473923 0.47
221 -1.962299 -2.439344  0.477046 0.48
222 -1.962302 -2.442599  0.480297 0.48
223 -1.962306 -2.445923  0.483616 0.48
224 -1.962310 -2.449255  0.486945 0.49
225 -1.962314 -2.452535  0.490221 0.49
226 -1.962317 -2.455706  0.493389 0.49
227 -1.962320 -2.458714  0.496393 0.50
228 -1.962323 -2.461511  0.499188 0.50
229 -1.962325 -2.464057  0.501732 0.50
230 -1.962326 -2.466320  0.503994 0.50
231 -1.962327 -2.468277  0.505950 0.51
232 -1.962328 -2.469915  0.507587 0.51
233 -1.962328 -2.471227  0.508899 0.51
234 -1.962327 -2.472217  0.509891 0.51
235 -1.962326 -2.472898  0.510572 0.51
236 -1.962325 -2.473285  0.510960 0.51
237 -1.962323 -2.473401  0.511078 0.51
238 -1.962321 -2.473272  0.510951 0.51
239 -1.962320 -2.472926  0.510606 0.51
240 -1.962318 -2.472388  0.510070 0.51
241 -1.962317 -2.471686  0.509369 0.51
242 -1.962316 -2.470841  0.508525 0.51
243 -1.962316 -2.469872  0.507557 0.51
244 -1.962316 -2.468791  0.506476 0.51
245 -1.962316 -2.467605  0.505289 0.51
246 -1.962317 -2.466314  0.503997 0.50
247 -1.962318 -2.464912  0.502594 0.50
248 -1.962319 -2.463389  0.501070 0.50
249 -1.962321 -2.461728  0.499407 0.50
250 -1.962323 -2.459911  0.497588 0.50
251 -1.962325 -2.457916  0.495590 0.50
252 -1.962327 -2.455721  0.493394 0.49
253 -1.962329 -2.453307  0.490978 0.49
254 -1.962330 -2.450659  0.488329 0.49
255 -1.962331 -2.447768  0.485437 0.49
256 -1.962331 -2.444634  0.482303 0.48
257 -1.962330 -2.441271  0.478941 0.48
258 -1.962328 -2.437707  0.475378 0.48
259 -1.962325 -2.433984  0.471659 0.47
260 -1.962321 -2.430168  0.467847 0.47
261 -1.962315 -2.426339  0.464024 0.46
262 -1.962308 -2.422598  0.460290 0.46
263 -1.962301 -2.419058  0.456757 0.46
264 -1.962293 -2.415840  0.453547 0.45
265 -1.962286 -2.413067  0.450781 0.45
266 -1.962280 -2.410852  0.448572 0.45
267 -1.962276 -2.409289  0.447013 0.45
268 -1.962274 -2.408443  0.446169 0.45
269 -1.962275 -2.408345  0.446070 0.45
270 -1.962278 -2.408987  0.446709 0.45
271 -1.962283 -2.410320  0.448037 0.45
272 -1.962290 -2.412263  0.449973 0.45
273 -1.962298 -2.414707  0.452409 0.45
274 -1.962306 -2.417525  0.455219 0.46
275 -1.962314 -2.420586  0.458271 0.46
276 -1.962321 -2.423758  0.461436 0.46
277 -1.962327 -2.426924  0.464597 0.46
278 -1.962331 -2.429984  0.467653 0.47
279 -1.962334 -2.432862  0.470528 0.47
280 -1.962335 -2.435503  0.473168 0.47
281 -1.962335 -2.437879  0.475544 0.48
282 -1.962333 -2.439979  0.477646 0.48
283 -1.962331 -2.441817  0.479486 0.48
284 -1.962327 -2.443417  0.481090 0.48
285 -1.962324 -2.444819  0.482496 0.48
286 -1.962320 -2.446069  0.483750 0.48
287 -1.962316 -2.447219  0.484903 0.48
288 -1.962312 -2.448320  0.486008 0.49
289 -1.962308 -2.449423  0.487114 0.49
290 -1.962305 -2.450574  0.488268 0.49
291 -1.962303 -2.451812  0.489509 0.49
292 -1.962301 -2.453169  0.490868 0.49
293 -1.962300 -2.454665  0.492365 0.49
294 -1.962300 -2.456312  0.494013 0.49
295 -1.962300 -2.458111  0.495811 0.50
296 -1.962301 -2.460052  0.497751 0.50
297 -1.962302 -2.462117  0.499815 0.50
298 -1.962304 -2.464279  0.501975 0.50
299 -1.962306 -2.466505  0.504198 0.50
300 -1.962309 -2.468754  0.506445 0.51
301 -1.962312 -2.470982  0.508671 0.51
302 -1.962315 -2.473143  0.510828 0.51
303 -1.962318 -2.475185  0.512868 0.51
304 -1.962321 -2.477059  0.514738 0.51
305 -1.962323 -2.478713  0.516390 0.52
306 -1.962326 -2.480099  0.517772 0.52
307 -1.962329 -2.481168  0.518839 0.52
308 -1.962331 -2.481876  0.519544 0.52
309 -1.962333 -2.482184  0.519850 0.52
310 -1.962335 -2.482058  0.519723 0.52
311 -1.962336 -2.481470  0.519134 0.52
312 -1.962337 -2.480403  0.518066 0.52
313 -1.962337 -2.478845  0.516508 0.52
314 -1.962337 -2.476797  0.514460 0.51
315 -1.962335 -2.474268  0.511933 0.51
316 -1.962334 -2.471280  0.508946 0.51
317 -1.962331 -2.467864  0.505532 0.51
318 -1.962328 -2.464061  0.501733 0.50
319 -1.962325 -2.459925  0.497601 0.50
320 -1.962320 -2.455517  0.493196 0.49
321 -1.962316 -2.450904  0.488588 0.49
322 -1.962311 -2.446164  0.483852 0.48
323 -1.962307 -2.441373  0.479067 0.48
324 -1.962302 -2.436612  0.474310 0.47
325 -1.962298 -2.431958  0.469660 0.47
326 -1.962294 -2.427483  0.465188 0.47
327 -1.962292 -2.423248  0.460957 0.46
328 -1.962290 -2.419304  0.457015 0.46
329 -1.962289 -2.415687  0.453397 0.45
330 -1.962290 -2.412413  0.450123 0.45
331 -1.962291 -2.409484  0.447192 0.45
332 -1.962294 -2.406883  0.444589 0.44
333 -1.962297 -2.404580  0.442282 0.44
334 -1.962301 -2.402529  0.440228 0.44
335 -1.962306 -2.400680  0.438374 0.44
336 -1.962310 -2.398972  0.436662 0.44
337 -1.962314 -2.397347  0.435033 0.44
338 -1.962318 -2.395747  0.433429 0.43
339 -1.962322 -2.394121  0.431799 0.43
340 -1.962324 -2.392423  0.430099 0.43
341 -1.962326 -2.390620  0.428294 0.43
342 -1.962327 -2.388691  0.426363 0.43
343 -1.962328 -2.386624  0.424296 0.42
344 -1.962327 -2.384425  0.422098 0.42
345 -1.962325 -2.382113  0.419788 0.42
346 -1.962323 -2.379722  0.417399 0.42
347 -1.962319 -2.377299  0.414980 0.41
348 -1.962314 -2.374907  0.412592 0.41
349 -1.962309 -2.372622  0.410313 0.41
350 -1.962303 -2.370531  0.408228 0.41
351 -1.962297 -2.368730  0.406433 0.41
352 -1.962290 -2.367320  0.405030 0.41
353 -1.962284 -2.366404  0.404120 0.40
354 -1.962278 -2.366080  0.403802 0.40
355 -1.962273 -2.366440  0.404167 0.40
356 -1.962269 -2.367559  0.405290 0.41
357 -1.962266 -2.369495  0.407229 0.41
358 -1.962265 -2.372284  0.410019 0.41
359 -1.962266 -2.375935  0.413670 0.41
360 -1.962268 -2.380432  0.418164 0.42
361 -1.962272 -2.385730  0.423458 0.42
362 -1.962277 -2.391762  0.429485 0.43
363 -1.962283 -2.398439  0.436156 0.44
364 -1.962290 -2.405655  0.443365 0.44
365 -1.962297 -2.413291  0.450994 0.45
366 -1.962305 -2.421223  0.458919 0.46
367 -1.962312 -2.429325  0.467013 0.47
368 -1.962318 -2.437472  0.475154 0.48
369 -1.962324 -2.445548  0.483224 0.48
370 -1.962329 -2.453445  0.491115 0.49
371 -1.962334 -2.461067  0.498733 0.50
372 -1.962337 -2.468329  0.505992 0.51
373 -1.962340 -2.475162  0.512822 0.51
374 -1.962342 -2.481507  0.519165 0.52
375 -1.962344 -2.487318  0.524974 0.52
376 -1.962345 -2.492558  0.530214 0.53
377 -1.962345 -2.497202  0.534857 0.53
378 -1.962346 -2.501231  0.538886 0.54
379 -1.962345 -2.504634  0.542288 0.54
380 -1.962345 -2.507404  0.545059 0.55
381 -1.962345 -2.509540  0.547195 0.55
382 -1.962344 -2.511045  0.548701 0.55
383 -1.962343 -2.511926  0.549583 0.55
384 -1.962342 -2.512192  0.549850 0.55
385 -1.962341 -2.511858  0.549516 0.55
386 -1.962340 -2.510941  0.548601 0.55
387 -1.962339 -2.509464  0.547125 0.55
388 -1.962337 -2.507456  0.545119 0.55
389 -1.962334 -2.504950  0.542616 0.54
390 -1.962332 -2.501990  0.539658 0.54
391 -1.962329 -2.498623  0.536294 0.54
392 -1.962325 -2.494906  0.532581 0.53
393 -1.962321 -2.490905  0.528584 0.53
394 -1.962316 -2.486689  0.524373 0.52
395 -1.962312 -2.482337  0.520025 0.52
396 -1.962307 -2.477927  0.515621 0.52
397 -1.962302 -2.473542  0.511240 0.51
398 -1.962298 -2.469261  0.506963 0.51
399 -1.962294 -2.465157  0.502863 0.50
400 -1.962291 -2.461300  0.499009 0.50
401 -1.962288 -2.457745  0.495457 0.50
402 -1.962287 -2.454538  0.492252 0.49
403 -1.962286 -2.451713  0.489427 0.49
404 -1.962286 -2.449287  0.487001 0.49
405 -1.962287 -2.447267  0.484981 0.48
406 -1.962288 -2.445649  0.483361 0.48
407 -1.962289 -2.444418  0.482129 0.48
408 -1.962292 -2.443553  0.481261 0.48
409 -1.962294 -2.443025  0.480731 0.48
410 -1.962296 -2.442805  0.480509 0.48
411 -1.962298 -2.442861  0.480563 0.48
412 -1.962300 -2.443164  0.480864 0.48
413 -1.962301 -2.443686  0.481385 0.48
414 -1.962303 -2.444403  0.482100 0.48
415 -1.962304 -2.445294  0.482990 0.48
416 -1.962304 -2.446343  0.484039 0.48
417 -1.962305 -2.447540  0.485235 0.49
418 -1.962305 -2.448874  0.486569 0.49
419 -1.962305 -2.450340  0.488035 0.49
420 -1.962306 -2.451932  0.489626 0.49
421 -1.962306 -2.453643  0.491337 0.49
422 -1.962306 -2.455465  0.493159 0.49
423 -1.962307 -2.457388  0.495081 0.50
424 -1.962308 -2.459396  0.497088 0.50
425 -1.962310 -2.461470  0.499160 0.50
426 -1.962311 -2.463585  0.501273 0.50
427 -1.962313 -2.465713  0.503400 0.50
428 -1.962315 -2.467823  0.505508 0.51
429 -1.962318 -2.469882  0.507564 0.51
430 -1.962320 -2.471854  0.509535 0.51
431 -1.962322 -2.473707  0.511386 0.51
432 -1.962323 -2.475411  0.513088 0.51
433 -1.962324 -2.476939  0.514614 0.51
434 -1.962325 -2.478271  0.515945 0.52
435 -1.962326 -2.479393  0.517068 0.52
