#Step   Etot   PotE Ktot  T
122 2.078270 -1.407297  3.485567 3.49
123 2.094308 -1.391258  3.485567 3.49
124 2.123624 -1.361943  3.485567 3.49
125 2.165786 -1.319780  3.485567 3.49
126 2.219492 -1.266075  3.485567 3.49
127 2.282442 -1.203125  3.485567 3.49
128 2.351140 -1.134427  3.485567 3.49
129 2.420992 -1.064575  3.485567 3.49
130 2.487107 -0.998459  3.485567 3.49
131 2.545796 -0.939770  3.485567 3.49
132 2.596001 -0.889565  3.485567 3.49
133 2.639542 -0.846024  3.485567 3.49
134 2.679787 -0.805779  3.485567 3.49
135 2.719653 -0.765914  3.485567 3.49
136 2.760265 -0.725302  3.485567 3.49
137 2.800886 -0.684680  3.485567 3.49
138 2.839690 -0.645876  3.485567 3.49
139 2.874514 -0.611052  3.485567 3.49
140 2.903014 -0.582553  3.485567 3.49
141 2.922437 -0.563129  3.485567 3.49
142 2.929868 -0.555698  3.485567 3.49
143 2.923567 -0.562000  3.485567 3.49
144 2.904707 -0.580859  3.485567 3.49
145 2.877746 -0.607821  3.485567 3.49
146 2.848606 -0.636960  3.485567 3.49
147 2.821935 -0.663632  3.485567 3.49
148 2.799307 -0.686260  3.485567 3.49
149 2.779215 -0.706351  3.485567 3.49
150 2.758599 -0.726968  3.485567 3.49
151 2.735149 -0.750417  3.485567 3.49
152 2.709201 -0.776366  3.485567 3.49
153 2.684037 -0.801530  3.485567 3.49
154 2.664490 -0.821076  3.485567 3.49
155 2.654865 -0.830702  3.485567 3.49
156 2.657282 -0.828285  3.485567 3.49
157 2.670813 -0.814754  3.485567 3.49
158 2.691306 -0.794261  3.485567 3.49
159 2.711915 -0.773652  3.485567 3.49
160 2.724591 -0.760976  3.485567 3.49
161 2.722504 -0.763063  3.485567 3.49
162 2.702530 -0.783036  3.485567 3.49
163 2.666390 -0.819176  3.485567 3.49
164 2.619673 -0.865894  3.485567 3.49
165 2.569428 -0.916138  3.485567 3.49
166 2.521780 -0.963787  3.485567 3.49
167 2.480563 -1.005004  3.485567 3.49
168 2.447113 -1.038453  3.485567 3.49
169 2.420793 -1.064774  3.485567 3.49
170 2.399784 -1.085782  3.485567 3.49
171 2.381859 -1.103707  3.485567 3.49
172 2.364967 -1.120600  3.485567 3.49
173 2.347588 -1.137978  3.485567 3.49
174 2.328849 -1.156717  3.485567 3.49
175 2.308433 -1.177133  3.485567 3.49
176 2.286343 -1.199223  3.485567 3.49
177 2.262619 -1.222947  3.485567 3.49
178 2.237141 -1.248426  3.485567 3.49
179 2.209657 -1.275909  3.485567 3.49
180 2.180054 -1.305512  3.485567 3.49
181 2.148688 -1.336878  3.485567 3.49
182 2.116487 -1.369080  3.485567 3.49
183 2.084689 -1.400878  3.485567 3.49
184 2.054405 -1.431161  3.485567 3.49
185 2.026340 -1.459226  3.485567 3.49
186 2.000867 -1.484700  3.485567 3.49
187 1.978368 -1.507199  3.485567 3.49
188 1.959584 -1.525982  3.485567 3.49
189 1.945738 -1.539828  3.485567 3.49
190 1.938387 -1.547179  3.485567 3.49
191 1.939112 -1.546455  3.485567 3.49
192 1.949189 -1.536377  3.485567 3.49
193 1.969359 -1.516208  3.485567 3.49
194 1.999703 -1.485863  3.485567 3.49
195 2.039633 -1.445933  3.485567 3.49
196 2.087928 -1.397638  3.485567 3.49
197 2.142808 -1.342758  3.485567 3.49
198 2.201996 -1.283571  3.485567 3.49
199 2.262753 -1.222814  3.485567 3.49
200 2.321899 -1.163667  3.485567 3.49
201 2.375888 -1.109678  3.485567 3.49
202 2.421035 -1.064531  3.485567 3.49
203 2.454008 -1.031559  3.485567 3.49
204 2.472560 -1.013006  3.485567 3.49
