#Step   Etot   PotE Ktot  T
129 4.333029 -2.638104  6.971133 6.97
130 4.333029 -2.638104  6.971133 6.97
131 4.333029 -2.638104  6.971133 6.97
132 4.333029 -2.638104  6.971133 6.97
133 4.333029 -2.638104  6.971133 6.97
134 4.333029 -2.638104  6.971133 6.97
135 4.333029 -2.638104  6.971133 6.97
136 4.333029 -2.638104  6.971133 6.97
137 4.333029 -2.638104  6.971133 6.97
138 4.333029 -2.638104  6.971133 6.97
139 4.333029 -2.638104  6.971133 6.97
140 4.333029 -2.638104  6.971133 6.97
141 4.333029 -2.638104  6.971133 6.97
142 4.333029 -2.638104  6.971133 6.97
143 4.333029 -2.638104  6.971133 6.97
144 4.333029 -2.638104  6.971133 6.97
145 4.333029 -2.638104  6.971133 6.97
146 4.333029 -2.638104  6.971133 6.97
147 4.333029 -2.638104  6.971133 6.97
148 4.333029 -2.638104  6.971133 6.97
149 4.333029 -2.638104  6.971133 6.97
150 4.333029 -2.638104  6.971133 6.97
151 4.333029 -2.638104  6.971133 6.97
152 4.333029 -2.638104  6.971133 6.97
153 4.333029 -2.638104  6.971133 6.97
154 4.333029 -2.638104  6.971133 6.97
155 4.333029 -2.638104  6.971133 6.97
156 4.333029 -2.638104  6.971133 6.97
157 4.333029 -2.638104  6.971133 6.97
158 4.333029 -2.638104  6.971133 6.97
159 4.333029 -2.638104  6.971133 6.97
160 4.333029 -2.638104  6.971133 6.97
161 4.333029 -2.638104  6.971133 6.97
162 4.333029 -2.638104  6.971133 6.97
163 4.333029 -2.638104  6.971133 6.97
164 4.333029 -2.638104  6.971133 6.97
165 4.333029 -2.638104  6.971133 6.97
166 4.333029 -2.638104  6.971133 6.97
167 4.333029 -2.638104  6.971133 6.97
168 4.333029 -2.638104  6.971133 6.97
169 4.333029 -2.638104  6.971133 6.97
170 4.333029 -2.638104  6.971133 6.97
171 4.333029 -2.638104  6.971133 6.97
172 4.333029 -2.638104  6.971133 6.97
173 4.333029 -2.638104  6.971133 6.97
174 4.333029 -2.638104  6.971133 6.97
175 4.333029 -2.638104  6.971133 6.97
176 4.333029 -2.638104  6.971133 6.97
177 4.333029 -2.638104  6.971133 6.97
178 4.333029 -2.638104  6.971133 6.97
179 4.333029 -2.638104  6.971133 6.97
180 4.333029 -2.638104  6.971133 6.97
181 4.333029 -2.638104  6.971133 6.97
182 4.333029 -2.638104  6.971133 6.97
183 4.333029 -2.638104  6.971133 6.97
184 4.333029 -2.638104  6.971133 6.97
185 4.333029 -2.638104  6.971133 6.97
186 4.333029 -2.638104  6.971133 6.97
